X,Y,OBJECTID,HOSPITAL_NAME,HOSPITAL_TYPE,HQ_ADDRESS,HQ_CITY,HQ_STATE,HQ_ZIP_CODE,COUNTY_NAME,STATE_NAME,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE
-92.32884870000001,38.9372354,11,Harry S Truman Memorial Veterans Hospital,VA Hospital,800 Hospital Dr,Columbia,MO,65201,Boone,Missouri,126.0,126.0,2,2,,0,2.0
-106.5816425,35.055193100000004,12,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,VA Hospital,1501 San Pedro Dr Se,Albuquerque,NM,87108,Bernalillo,New Mexico,184.0,184.0,1,1,,0,1.0
-73.7744404,42.649612700000006,13,Albany Stratton VA Medical Center,VA Hospital,113 Holland Ave,Albany,NY,12208,Albany,New York,156.0,156.0,2,2,,0,2.0
-73.9064046,40.8674032,14,James J Peters VA Medical Center,VA Hospital,130 W Kingsbridge Rd,Bronx,NY,10468,Bronx,New York,311.0,311.0,2,2,,0,2.0
-96.77453,46.905932799999995,15,Fargo VA Health Care System,VA Hospital,2101 Elm St N,Fargo,ND,58102,Cass,North Dakota,37.0,37.0,1,1,,0,1.0
-123.3650574,43.2270692,16,Roseburg VA Health Care System,VA Hospital,913 Nw Garden Valley Blvd,Roseburg,OR,97471,Douglas,Oregon,,,0,0,,0,0.0
-79.96080740000001,40.4462661,17,VA Pittsburgh Healthcare System - University Drive,VA Hospital,4100 Allequippa St,Pittsburgh,PA,15219,Allegheny,Pennsylvania,146.0,146.0,2,2,,0,2.0
-86.451938,32.463778000000005,18,Prattville Baptist Hospital,Short Term Acute Care Hospital,124 S Memorial Dr,Prattville,AL,36067,Autauga,Alabama,85.0,55.0,6,6,0.62311333,30,2.0
-87.8883067,30.519026500000002,19,Thomas Hospital,Short Term Acute Care Hospital,750 Morphy Ave,Fairhope,AL,36532,Baldwin,Alabama,150.0,129.0,17,17,0.8743124,21,3.0
-87.785172,30.903945,20,North Baldwin Infirmary,Short Term Acute Care Hospital,1815 Hand Ave,Bay Minette,AL,36507,Baldwin,Alabama,58.0,25.0,4,4,0.55038249,33,2.0
-85.1563565,31.8887641,21,Medical Center Barbour,Short Term Acute Care Hospital,820 W Washington St,Eufaula,AL,36027,Barbour,Alabama,74.0,30.0,5,5,0.37872148,44,2.0
-87.1481336,32.951223399999996,22,Bibb Medical Center,Short Term Acute Care Hospital,208 Pierson Ave,Centreville,AL,35042,Bibb,Alabama,35.0,25.0,4,4,0.43090412,10,1.0
-86.4949953,33.9333028,23,St Vincents Blount,Critical Access Hospital,150 Gilbreath Dr,Oneonta,AL,35121,Blount,Alabama,25.0,25.0,6,6,0.4990685,0,2.0
-85.713048,32.146119,24,Bullock County Hospital,Short Term Acute Care Hospital,102 Conecuh Ave W,Union Springs,AL,36089,Bullock,Alabama,61.0,25.0,5,5,0.32164383,36,1.0
-86.64627,31.8290939,25,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Short Term Acute Care Hospital,29 L V Stabler Dr,Greenville,AL,36037,Butler,Alabama,72.0,44.0,7,7,0.18711084,28,2.0
-85.825,33.6676,26,Stringfellow Memorial Hospital,Short Term Acute Care Hospital,301 E 18th St,Anniston,AL,36207,Calhoun,Alabama,125.0,125.0,6,6,0.25909042,0,2.0
-85.8228352,33.6563953,27,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Short Term Acute Care Hospital,400 E 10th St,Anniston,AL,36207,Calhoun,Alabama,323.0,272.0,18,18,0.51079774,51,11.0
-85.1685934,32.8246478,28,East Alabama Medical Center - Lanier,Short Term Acute Care Hospital,4800 48th St,Valley,AL,36854,Chambers,Alabama,115.0,84.0,15,15,0.39872646,31,0.0
-85.6513,34.1627,29,Cherokee Medical Center,Short Term Acute Care Hospital,400 Northwood Dr,Centre,AL,35960,Cherokee,Alabama,60.0,45.0,8,8,0.24253164,15,1.0
-87.775947571,31.694274902000103,30,Grove Hill Memorial Hospital,Short Term Acute Care Hospital,295 S Jackson St,Grove Hill,AL,36451,Clarke,Alabama,50.0,21.0,4,4,0.31272015,29,1.0
-87.895053,31.531194699999997,31,Jackson Medical Center,Short Term Acute Care Hospital,220 Hospital Dr,Jackson,AL,36545,Clarke,Alabama,35.0,35.0,6,6,0.24438356,0,1.0
-85.82382199999999,33.2771472,32,Clay County Hospital,Short Term Acute Care Hospital,83825 Highway 9,Ashland,AL,36251,Clay,Alabama,45.0,46.0,4,4,0.28064325,-1,2.0
-85.855114,31.318647,33,Medical Center Enterprise,Short Term Acute Care Hospital,400 N Edwards St,Enterprise,AL,36330,Coffee,Alabama,131.0,99.0,7,7,0.27961808,32,2.0
-87.675383,34.744969,34,Shoals Hospital,Short Term Acute Care Hospital,201 W Avalon Ave,Muscle Shoals,AL,35661,Colbert,Alabama,198.0,122.0,10,10,0.17876019,76,2.0
-86.9408213,31.4309781,35,Evergreen Medical Center,Short Term Acute Care Hospital,101 Crestview Ave,Evergreen,AL,36401,Conecuh,Alabama,58.0,44.0,8,8,0.29943961,14,0.0
-86.49476240000001,31.2962978,36,Andalusia Regional Hospital (AKA Andalusia Health),Short Term Acute Care Hospital,849 S Three Notch St,Andalusia,AL,36420,Covington,Alabama,88.0,83.0,8,8,0.31137666,5,2.0
-86.2542062,31.291985200000003,37,Mizell Memorial Hospital,Short Term Acute Care Hospital,702 N Main St,Opp,AL,36467,Covington,Alabama,99.0,45.0,5,5,0.30630136,54,2.0
-86.2650941,31.693352899999997,38,Crenshaw Community Hospital,Short Term Acute Care Hospital,101 Hospital Dr,Luverne,AL,36049,Crenshaw,Alabama,65.0,29.0,5,5,0.15200756,36,2.0
-86.8748531,34.207586600000006,39,Cullman Regional Medical Center,Short Term Acute Care Hospital,1912 Alabama Hwy 157,Cullman,AL,35058,Cullman,Alabama,145.0,145.0,12,12,0.50817192,0,5.0
-85.632075,31.451328000000004,40,Dale Medical Center,Short Term Acute Care Hospital,126 Hospital Ave,Ozark,AL,36360,Dale,Alabama,89.0,77.0,6,6,0.26493508,12,2.0
-87.056025,32.4292722,41,Vaughan Regional Medical Center,Short Term Acute Care Hospital,1015 Medical Center Pkwy,Selma,AL,36701,Dallas,Alabama,175.0,109.0,23,23,0.40459973,66,2.0
-85.75501379999999,34.441975299999996,42,Dekalb Regional Medical Center,Short Term Acute Care Hospital,200 Medical Center Dr,Fort Payne,AL,35968,DeKalb,Alabama,134.0,97.0,12,12,0.27885753,37,3.0
-85.912363,32.534053,43,Community Hospital,Short Term Acute Care Hospital,805 Friendship Rd,Tallassee,AL,36078,Elmore,Alabama,69.0,37.0,5,5,0.29389116,32,2.0
-86.18666970000001,32.5523787,44,Elmore Community Hospital,Short Term Acute Care Hospital,500 Hospital Dr,Wetumpka,AL,36092,Elmore,Alabama,69.0,33.0,6,6,0.30469075,36,1.0
-87.0712,31.1249,45,DW McMillan Memorial Hospital,Short Term Acute Care Hospital,1301 Belleville Ave,Brewton,AL,36426,Escambia,Alabama,91.0,46.0,8,8,0.33484218,45,2.0
-87.4763489,31.0166253,46,Atmore Community Hospital,Short Term Acute Care Hospital,401 Medical Park Dr,Atmore,AL,36502,Escambia,Alabama,51.0,49.0,6,6,0.35661170000000003,2,2.0
-85.96757190000001,34.00740220000001,47,Gadsden Regional Medical Center,Short Term Acute Care Hospital,1007 Goodyear Ave,Gadsden,AL,35903,Etowah,Alabama,346.0,222.0,40,40,0.73435766,124,8.0
-86.003626,34.004403,48,Riverview Regional Medical Center,Short Term Acute Care Hospital,600 S 3rd St,Gadsden,AL,35901,Etowah,Alabama,281.0,256.0,45,45,0.25446275,25,6.0
-87.8242179,33.708026600000004,49,Fayette Medical Center (FKA Weimer Medical Center),Short Term Acute Care Hospital,1653 Temple Ave N,Fayette,AL,35555,Fayette,Alabama,61.0,45.0,8,8,0.23293759,16,2.0
-87.71834709999999,34.5107726,50,Russellville Hospital,Short Term Acute Care Hospital,15155 Highway 43,Russellville,AL,35653,Franklin,Alabama,100.0,49.0,7,7,0.3553257,51,2.0
-88.1477,34.4575,51,Red Bay Hospital,Critical Access Hospital,211 Hospital Rd,Red Bay,AL,35582,Franklin,Alabama,25.0,25.0,4,4,0.26641095,0,1.0
-85.890977,31.048773999999998,52,Wiregrass Medical Center,Short Term Acute Care Hospital,1200 W Maple Ave,Geneva,AL,36340,Geneva,Alabama,83.0,73.0,6,6,0.13143179,10,2.0
-87.89,32.8421,53,Greene County Hospital,Short Term Acute Care Hospital,509 Wilson Ave,Eutaw,AL,35462,Greene,Alabama,20.0,20.0,4,4,0.24164383,0,0.0
-87.58690770000001,32.695544399999996,54,Hale County Hospital,Short Term Acute Care Hospital,508 Greene St,Greensboro,AL,36744,Hale,Alabama,39.0,28.0,5,5,0.26086107,11,0.0
-85.456757,31.2379068,55,Flowers Hospital,Short Term Acute Care Hospital,4370 W Main St,Dothan,AL,36305,Houston,Alabama,235.0,235.0,26,26,0.61429322,0,8.0
-85.39295440000001,31.2197115,56,Southeast Health (FKA Southeast Alabama Medical Center),Short Term Acute Care Hospital,1108 Ross Clark Cir,Dothan,AL,36302,Houston,Alabama,420.0,342.0,40,40,0.77072817,78,8.0
-86.0466,34.6617,57,Highlands Medical Center,Short Term Acute Care Hospital,380 Woods Cove Rd,Scottsboro,AL,35768,Jackson,Alabama,170.0,92.0,10,10,0.62826902,78,2.0
-86.78891109999999,33.5071812,58,St Vincents Birmingham,Short Term Acute Care Hospital,810 Saint Vincents Dr,Birmingham,AL,35205,Jefferson,Alabama,409.0,400.0,83,83,0.67396295,9,13.0
-86.8470166,33.4984021,59,Princeton Baptist Medical Center,Short Term Acute Care Hospital,701 Princeton Ave Sw,Birmingham,AL,35211,Jefferson,Alabama,505.0,279.0,33,33,0.69173664,226,9.0
-86.7188447,33.4327755,60,Grandview Medical Center (FKA Trinity Medical Center),Short Term Acute Care Hospital,3690 Grandview Pkwy,Birmingham,AL,35243,Jefferson,Alabama,402.0,373.0,72,72,0.78589886,29,8.0
-86.6676502,33.596457,61,St Vincents East (FKA Medical Center East),Short Term Acute Care Hospital,50 Medical Park Dr E,Birmingham,AL,35235,Jefferson,Alabama,362.0,309.0,44,44,0.73197675,53,12.0
-86.80245749999999,33.503575399999995,62,UAB Callahan Eye Hospital,Short Term Acute Care Hospital,1720 University Blvd,Birmingham,AL,35233,Jefferson,Alabama,106.0,12.0,2,2,0.05913242,94,0.0
-87.6989,34.7464,63,Helen Keller Hospital,Short Term Acute Care Hospital,1300 S Montgomery Ave,Sheffield,AL,35660,Colbert,Alabama,185.0,178.0,12,12,0.38922581,7,4.0
-86.8031931,33.506617600000006,64,UAB Hospital,Short Term Acute Care Hospital,1802 6th Ave S,Birmingham,AL,35233,Jefferson,Alabama,1157.0,1100.0,85,85,0.8154819000000001,57,29.0
-86.9906177,33.3722775,65,Medical West Hospital,Short Term Acute Care Hospital,995 9th Ave Sw,Bessemer,AL,35022,Jefferson,Alabama,310.0,187.0,21,21,0.45702147,123,3.0
-86.80155490000001,33.5041206,66,Birmingham VA Medical Center,VA Hospital,700 19th St S,Birmingham,AL,35233,Jefferson,Alabama,313.0,131.0,0,0,,182,0.0
-86.8069698,33.470238300000005,67,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Short Term Acute Care Hospital,2010 Brookwood Medical Ctr Dr,Birmingham,AL,35209,Jefferson,Alabama,595.0,425.0,26,26,0.4073489,170,8.0
-87.6509453,34.8043939,68,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Short Term Acute Care Hospital,1701 Veterans Dr,Florence,AL,35630,Lauderdale,Alabama,263.0,233.0,36,36,0.55744457,30,6.0
-87.286,34.4828,69,Lawrence Medical Center,Short Term Acute Care Hospital,202 Hospital St,Moulton,AL,35650,Lawrence,Alabama,98.0,43.0,6,6,0.15132208,55,2.0
-85.4037506,32.64016289999999,70,East Alabama Medical Center - Opelika,Short Term Acute Care Hospital,2000 Pepperell Pkwy,Opelika,AL,36801,Lee,Alabama,314.0,299.0,20,20,0.68810189,15,10.0
-86.979177,34.8042607,71,Athens-Limestone Hospital,Short Term Acute Care Hospital,700 W Market St,Athens,AL,35611,Limestone,Alabama,71.0,66.0,10,10,0.51843089,5,3.0
-86.581799,34.721046,72,Huntsville Hospital,Short Term Acute Care Hospital,101 Sivley Rd SW,Huntsville,AL,35801,Madison,Alabama,881.0,877.0,67,67,0.71506852,4,21.0
-86.57193240000001,34.6939279,73,Crestwood Medical Center,Short Term Acute Care Hospital,1 Hospital Dr,Huntsville,AL,35801,Madison,Alabama,180.0,183.0,16,16,0.57648027,-3,3.0
-87.91165,32.384584000000004,74,Whitfield Regional Hospital (FKA Bryan W Whitfield Memorial Hospital),Short Term Acute Care Hospital,105 Us Highway 80 E,Demopolis,AL,36732,Marengo,Alabama,99.0,37.0,5,5,0.36645687,62,2.0
-87.82442579999999,33.9302561,75,Northwest Medical Center,Short Term Acute Care Hospital,1530 Us Highway 43,Winfield,AL,35594,Marion,Alabama,71.0,42.0,4,4,0.22015655,29,2.0
-87.9914652,34.1267995,76,North Mississippi Medical Center - Hamilton,Short Term Acute Care Hospital,1256 Military St S,Hamilton,AL,35570,Marion,Alabama,49.0,36.0,4,4,0.23843227,13,1.0
-86.160495,34.22159,77,Marshall Medical Center South,Short Term Acute Care Hospital,2505 Us Highway 431,Boaz,AL,35957,Marshall,Alabama,150.0,150.0,20,20,0.43511954,0,7.0
-88.0985628,30.7072875,78,USA Health University Hospital (FKA University of South Alabama Medical Center),Short Term Acute Care Hospital,2451 USA Medical Center Dr,Mobile,AL,36617,Mobile,Alabama,406.0,183.0,32,32,0.87147242,223,4.0
-88.19855229999999,30.6782817,79,Providence Hospital,Short Term Acute Care Hospital,6801 Airport Blvd,Mobile,AL,36608,Mobile,Alabama,349.0,349.0,33,33,0.54951525,0,8.0
-88.0794252,30.6988625,80,Mobile Infirmary,Short Term Acute Care Hospital,5 Mobile Infirmary Cir,Mobile,AL,36607,Mobile,Alabama,669.0,596.0,38,38,0.66353315,73,11.0
-88.13171109999999,30.6852336,81,Springhill Medical Center,Short Term Acute Care Hospital,3719 Dauphin St,Mobile,AL,36608,Mobile,Alabama,263.0,188.0,20,20,0.77661031,75,5.0
-88.07795870000001,30.6974512,82,USA Childrens & Womens Hospital,Childrens Hospital,1700 Center St,Mobile,AL,36604,Mobile,Alabama,152.0,101.0,118,118,0.62734205,51,1.0
-87.3206816,31.498257000000002,83,Monroe County Hospital,Short Term Acute Care Hospital,2016 S Alabama Ave,Monroeville,AL,36460,Monroe,Alabama,94.0,49.0,8,8,0.11646631,45,2.0
-86.1748296,32.376228399999995,84,Baptist Medical Center East,Short Term Acute Care Hospital,400 Taylor Rd,Montgomery,AL,36117,Montgomery,Alabama,150.0,150.0,12,12,0.60898942,0,2.0
-86.24390859999998,32.376919300000004,85,Central Alabama Veterans Health Care System - West Campus,VA Hospital,215 Perry Hill Rd,Montgomery,AL,36109,Montgomery,Alabama,143.0,143.0,1,1,,0,1.0
-86.271,32.3269,86,Baptist Medical Center South,Short Term Acute Care Hospital,2105 E South Blvd,Montgomery,AL,36116,Montgomery,Alabama,432.0,320.0,26,26,0.70980448,112,8.0
-86.28534920000001,32.3670831,87,Jackson Hospital,Short Term Acute Care Hospital,1725 Pine St,Montgomery,AL,36106,Montgomery,Alabama,344.0,270.0,34,34,0.7106545,74,5.0
-86.97241700000001,34.590413500000004,88,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Short Term Acute Care Hospital,1201 7th St SE,Decatur,AL,35601,Morgan,Alabama,273.0,266.0,23,23,0.42288098,7,3.0
-85.9449087,31.781149699999997,89,Troy Regional Medical Center,Short Term Acute Care Hospital,1330 Highway 231 S,Troy,AL,36081,Pike,Alabama,97.0,97.0,9,9,0.18395707,0,2.0
-85.0086714,32.508084499999995,90,Jack Hughston Memorial Hospital,Short Term Acute Care Hospital,4401 Riverchase Dr,Phenix City,AL,36867,Russell,Alabama,70.0,47.0,8,8,0.36496648,23,2.0
-86.3017253,33.6043705,91,St Vincents St Clair,Short Term Acute Care Hospital,7063 Veterans Pkwy,Pell City,AL,35125,St. Clair,Alabama,40.0,40.0,6,6,0.58636987,0,2.0
-86.81304449999999,33.25241389999999,92,Shelby Baptist Medical Center,Short Term Acute Care Hospital,1000 1st St N,Alabaster,AL,35007,Shelby,Alabama,252.0,212.0,32,32,0.57423109,40,6.0
-88.296,32.4917,93,Hill Hospital of Sumter County,Short Term Acute Care Hospital,751 Derby Dr,York,AL,36925,Sumter,Alabama,33.0,33.0,6,6,0.4234122,0,0.0
-86.25520420000001,33.1644466,94,Coosa Valley Medical Center,Short Term Acute Care Hospital,315 W Hickory St,Sylacauga,AL,35150,Talladega,Alabama,168.0,122.0,8,8,0.25951043,46,2.0
-86.0921,33.4397,95,Citizens Baptist Medical Center,Short Term Acute Care Hospital,604 Stone Ave,Talladega,AL,35160,Talladega,Alabama,122.0,103.0,6,6,0.20712861,19,2.0
-85.7415,32.82,96,Lake Martin Community Hospital,Short Term Acute Care Hospital,201 Mariarden Rd,Dadeville,AL,36853,Tallapoosa,Alabama,46.0,46.0,8,8,0.09636688199999999,0,0.0
-85.9687,32.9316,97,Russell Medical Center,Short Term Acute Care Hospital,3316 Highway 280,Alexander City,AL,35010,Tallapoosa,Alabama,81.0,43.0,6,6,0.45014337,38,2.0
-87.52669559999998,33.2047953,98,DCH Regional Medical Center,Short Term Acute Care Hospital,809 University Blvd E,Tuscaloosa,AL,35401,Tuscaloosa,Alabama,583.0,524.0,52,52,0.7311095000000001,59,31.0
-87.4865613,33.1913652,99,Tuscaloosa VA Medical Center,VA Hospital,3701 Loop Road East,Tuscaloosa,AL,35404,Tuscaloosa,Alabama,96.0,96.0,0,0,,0,0.0
-87.2080895,33.829811,100,Walker Baptist Medical Center,Short Term Acute Care Hospital,3400 Highway 78 E,Jasper,AL,35501,Walker,Alabama,267.0,207.0,12,12,0.29285949,60,4.0
-88.235022,31.459627100000002,101,Washington County Hospital,Critical Access Hospital,14600 Saint Stephens Ave,Chatom,AL,36518,Washington,Alabama,25.0,15.0,3,3,0.43178082,10,1.0
-87.3001629,31.9980953,102,J Paul Jones Hospital,Short Term Acute Care Hospital,317 Mcwilliams Ave,Camden,AL,36726,Wilcox,Alabama,30.0,21.0,4,4,0.06575342299999999,9,0.0
-87.591312,34.241867,103,Lakeland Community Hospital,Short Term Acute Care Hospital,42024 Highway 195,Haleyville,AL,35565,Winston,Alabama,49.0,49.0,4,4,0.29197651,0,2.0
-149.8169137,61.1879049,104,Providence Alaska Medical Center,Short Term Acute Care Hospital,3200 Providence Dr,Anchorage,AK,99508,Anchorage,Alaska,401.0,391.0,46,46,0.71726364,10,11.0
-149.8287333,61.2106931,105,Alaska Regional Hospital,Short Term Acute Care Hospital,2801 Debarr Rd,Anchorage,AK,99508,Anchorage,Alaska,250.0,168.0,14,14,0.71379077,82,4.0
-149.79996730000002,61.1829647,106,Alaska Native Medical Center,Short Term Acute Care Hospital,4315 Diplomacy Dr,Anchorage,AK,99508,Anchorage,Alaska,150.0,174.0,30,30,0.65020746,-24,4.0
-161.7271,60.7494,107,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care Hospital,829 Chief Eddie Hoffman Hwy,Bethel,AK,99559,Bethel,Alaska,50.0,34.0,6,6,0.38920227,16,1.0
-69.7794897,44.310624100000005,108,Maine VA Medical Center (AKA Togus VA Medical Center),VA Hospital,1 Va Ctr,Augusta,ME,4330,Kennebec,Maine,67.0,67.0,2,2,,0,2.0
-147.7399471,64.8311569,109,Fairbanks Memorial Hospital,Short Term Acute Care Hospital,1650 Cowles St,Fairbanks,AK,99701,Fairbanks North Star,Alaska,152.0,122.0,13,13,0.35250393,30,2.0
-134.4649167,58.3290164,110,Bartlett Regional Hospital,Short Term Acute Care Hospital,3260 Hospital Dr,Juneau,AK,99801,Juneau,Alaska,73.0,45.0,9,9,0.36596653,28,2.0
-151.0782521,60.493369900000005,111,Central Peninsula Hospital,Short Term Acute Care Hospital,250 Hospital Pl,Soldotna,AK,99669,Kenai Peninsula,Alaska,49.0,49.0,6,6,0.63282079,0,2.0
-149.38874199999998,60.26951,112,Providence Seward Medical & Care Center,Critical Access Hospital,417 1st Ave,Seward,AK,99664,Kenai Peninsula,Alaska,6.0,6.0,1,1,0.21004567,0,0.0
-151.55003390000002,59.6521505,113,South Peninsula Hospital,Critical Access Hospital,4300 Bartlett St,Homer,AK,99603,Kenai Peninsula,Alaska,22.0,21.0,4,4,0.37521201,1,1.0
-131.6866346,55.3536571,114,PeaceHealth Ketchikan Medical Center,Critical Access Hospital,3100 Tongass Ave,Ketchikan,AK,99901,Ketchikan Gateway,Alaska,25.0,25.0,4,4,0.38246575,0,2.0
-76.6244839,39.289565,115,VA Maryland Health Care System - Baltimore VA Medical Center,VA Hospital,10 N Greene St,Baltimore,MD,21201,Baltimore City,Maryland,131.0,131.0,2,2,,0,2.0
-152.37564719999997,57.80088370000001,116,Providence Kodiak Island Medical Center,Critical Access Hospital,1915 E Rezanof Dr,Kodiak,AK,99615,Kodiak Island,Alaska,25.0,24.0,4,4,0.20947489,1,2.0
-149.25763830000002,61.5631603,117,Mat-Su Regional Medical Center,Short Term Acute Care Hospital,2500 S Woodworth Loop,Palmer,AK,99645,Matanuska-Susitna,Alaska,125.0,109.0,14,14,0.40972728,16,3.0
-165.40595,64.497393,118,Norton Sound Regional Hospital,Critical Access Hospital,1000 Greg Kruschek Ave,Nome,AK,99762,Nome,Alaska,18.0,18.0,3,3,0.40167427,0,1.0
-135.3551988,57.05199029999999,119,Mt Edgecumbe Hospital,Critical Access Hospital,222 Tongass Dr,Sitka,AK,99835,Sitka,Alaska,25.0,27.0,4,4,0.33860984,-2,1.0
-131.7229,56.3147,120,Wrangell Medical Center,Critical Access Hospital,310 Bennett St,Wrangell,AK,99929,Wrangell,Alaska,8.0,8.0,1,1,0.2875683,0,0.0
-72.6859271,42.3471739,121,VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center),VA Hospital,421 N Main St,Leeds,MA,1053,Hampshire,Massachusetts,145.0,145.0,0,0,,0,0.0
-71.27558859999999,42.5071946,122,Edith Nourse Rogers Memorial Veterans Hospital,VA Hospital,200 Springs Rd,Bedford,MA,1730,Middlesex,Massachusetts,65.0,65.0,1,1,,0,1.0
-109.0483992,35.759316999999996,123,Fort Defiance Indian Hospital,Short Term Acute Care Hospital,Intersection of Route 12 and 7,Fort Defiance,AZ,86504,Apache,Arizona,56.0,56.0,10,10,0.45909979999999995,0,1.0
-109.5526,36.1542,124,Chinle Comprehensive Health Care Facility,Short Term Acute Care Hospital,Highway 191,Chinle,AZ,86503,Apache,Arizona,60.0,60.0,11,11,0.22191781,0,1.0
-109.4589,35.6053,125,Sage Memorial Hospital,Critical Access Hospital,US-191 & AZ-264,Ganado,AZ,86505,Apache,Arizona,25.0,25.0,4,4,0.10421918,0,1.0
-109.2855001,34.1316409,126,White Mountain Regional Medical Center,Critical Access Hospital,118 S Mountain Ave,Springerville,AZ,85938,Apache,Arizona,21.0,21.0,4,4,0.27266797,0,2.0
-109.8827933,31.4175897,127,Copper Queen Community Hospital,Critical Access Hospital,101 Cole Ave,Bisbee,AZ,85603,Cochise,Arizona,14.0,14.0,2,2,0.29726028,0,2.0
-110.3084953,31.964943800000004,128,Benson Hospital,Critical Access Hospital,450 S Ocotillo Ave,Benson,AZ,85602,Cochise,Arizona,22.0,22.0,4,4,0.18281445,0,0.0
-109.838086,32.2649125,129,Northern Cochise Community Hospital,Critical Access Hospital,901 W Rex Allen Dr,Willcox,AZ,85643,Cochise,Arizona,24.0,24.0,4,4,0.090867579,0,0.0
-110.230876,31.554585999999997,130,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),Short Term Acute Care Hospital,5700 E Highway 90,Sierra Vista,AZ,85635,Cochise,Arizona,100.0,75.0,12,12,0.47696805,25,4.0
-111.64390729999998,35.2090049,131,Flagstaff Medical Center,Short Term Acute Care Hospital,1200 N Beaver St,Flagstaff,AZ,86001,Coconino,Arizona,264.0,242.0,41,41,0.57496887,22,7.0
-111.46391100000001,36.91754,132,Page Hospital,Critical Access Hospital,501 N Navajo Dr,Page,AZ,86040,Coconino,Arizona,25.0,25.0,4,4,0.096109591,0,1.0
-111.2397,36.1362,133,Tuba City Regional Health Care,Short Term Acute Care Hospital,167 Main Street,Tuba City,AZ,86045,Coconino,Arizona,73.0,73.0,13,13,0.43557891,0,2.0
-110.4178,33.2953,134,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),Short Term Acute Care Hospital,103 Medicine Way Rd,Peridot,AZ,85542,Graham,Arizona,127.0,8.0,1,1,0.45136985,119,0.0
-110.82680959999999,33.4060628,135,Cobre Valley Regional Medical Center,Critical Access Hospital,5880 S Hospital Dr,Globe,AZ,85501,Gila,Arizona,25.0,25.0,4,4,0.56054795,0,2.0
-111.3213,34.2317,136,Banner Payson Medical Center (AKA Payson Regional Medical Center),Critical Access Hospital,807 S Ponderosa St,Payson,AZ,85541,Gila,Arizona,25.0,25.0,4,4,0.44263014,0,2.0
